language,text_size,pattern_size,case_type,run_number,execution_time_seconds
Python,10000,200,average,18,0.0016892009998628055
Python,10000,200,average,19,0.0017047239998646546
Python,10000,200,average,20,0.0016765370000939583
Python,10000,200,average,21,0.0017372079996675893
Python,10000,200,average,22,0.0017458520001127908
Python,10000,200,average,23,0.0017351099995721597
Python,10000,200,average,24,0.0017498250003882276
Python,10000,200,average,25,0.0016974739996840071
C,10000,200,average,1,7.6e-08
C,10000,200,average,2,6.6e-08
C,10000,200,average,3,5e-08
C,10000,200,average,4,9.7e-08
C,10000,200,average,5,9.9e-08
C,10000,200,average,6,7.5e-08
C,10000,200,average,7,9.1e-08
C,10000,200,average,8,1.07e-07
C,10000,200,average,9,9.1e-08
C,10000,200,average,10,1e-07
C,10000,200,average,11,6.8e-08
C,10000,200,average,12,1.15e-07
C,10000,200,average,13,9.6e-08
C,10000,200,average,14,7.8e-08
C,10000,200,average,15,9.5e-08
C,10000,200,average,16,6.8e-08
C,10000,200,average,17,7.4e-08
C,10000,200,average,18,1.03e-07
C,10000,200,average,19,6.6e-08
C,10000,200,average,20,8.3e-08
C,10000,200,average,21,6.6e-08
C,10000,200,average,22,7.6e-08
C,10000,200,average,23,1.18e-07
C,10000,200,average,24,8.5e-08
C,10000,200,average,25,7.5e-08
Python,10000,200,worst,1,0.004457981000086875
Python,10000,200,worst,2,0.004345751999608183
Python,10000,200,worst,3,0.0028171979997750896
Python,10000,200,worst,4,0.002747133999946527
Python,10000,200,worst,5,0.002793970000311674
Python,10000,200,worst,6,0.0027370210000299267
Python,10000,200,worst,7,0.002699612000014895
Python,10000,200,worst,8,0.0026967830003741255
Python,10000,200,worst,9,0.002636404999975639
Python,10000,200,worst,10,0.0024943470002654067
Python,10000,200,worst,11,0.0024790649999886227
Python,10000,200,worst,12,0.0027191500003027613
Python,10000,200,worst,13,0.0024724489999243815
Python,10000,200,worst,14,0.0025048110001080204
Python,10000,200,worst,15,0.002674614999705227
Python,10000,200,worst,16,0.002652533999935258
Python,10000,200,worst,17,0.0025217089996658615
Python,10000,200,worst,18,0.002693993999855593
Python,10000,200,worst,19,0.0025239460001103
Python,10000,200,worst,20,0.0024573609998697066
Python,10000,200,worst,21,0.002662809999947058
Python,10000,200,worst,22,0.0024683430001459783
Python,10000,200,worst,23,0.002533773000322981
Python,10000,200,worst,24,0.0026073469998664223
Python,10000,200,worst,25,0.0026585999999042542
C,10000,200,worst,1,8.9e-08
C,10000,200,worst,2,8.9e-08
C,10000,200,worst,3,5.9e-08
C,10000,200,worst,4,8.2e-08
C,10000,200,worst,5,7.9e-08
C,10000,200,worst,6,6.9e-08
C,10000,200,worst,7,6.2e-08
C,10000,200,worst,8,9.7e-08
C,10000,200,worst,9,8.2e-08
C,10000,200,worst,10,9.9e-08
C,10000,200,worst,11,6.7e-08
C,10000,200,worst,12,9.3e-08
C,10000,200,worst,13,9.2e-08
C,10000,200,worst,14,4.9e-08
C,10000,200,worst,15,7.8e-08
C,10000,200,worst,16,8.1e-08
C,10000,200,worst,17,1.27e-07
C,10000,200,worst,18,6.5e-08
C,10000,200,worst,19,6.4e-08
C,10000,200,worst,20,5.4e-08
C,10000,200,worst,21,6.7e-08
C,10000,200,worst,22,9.1e-08
C,10000,200,worst,23,8.5e-08
C,10000,200,worst,24,7.1e-08
C,10000,200,worst,25,8.4e-08
Python,100000,10,best,1,0.017361191999953007
Python,100000,10,best,2,0.017245195000214153
Python,100000,10,best,3,0.016721338000024843
Python,100000,10,best,4,0.016892838000330812
Python,100000,10,best,5,0.016956307000327797
Python,100000,10,best,6,0.016813125000226137
Python,100000,10,best,7,0.016921795000143902
Python,100000,10,best,8,0.016679697999734344
Python,100000,10,best,9,0.016751695000039035
Python,100000,10,best,10,0.016720438999982434
Python,100000,10,best,11,0.016676219000146375
Python,100000,10,best,12,0.01682591600001615
Python,100000,10,best,13,0.016955324999798904
Python,100000,10,best,14,0.01825688100007028
Python,100000,10,best,15,0.017996572999891214
Python,100000,10,best,16,0.01692622600012328
Python,100000,10,best,17,0.017095892999805073
Python,100000,10,best,18,0.016780873999778123
Python,100000,10,best,19,0.016747080000186543
Python,100000,10,best,20,0.01670768100029818
Python,100000,10,best,21,0.01673711799958255
Python,100000,10,best,22,0.01682252899990999
Python,100000,10,best,23,0.01686589799965077
Python,100000,10,best,24,0.01679622300025585
