language,text_size,pattern_size,case_type,run_number,execution_time_seconds
Python,10000,200,worst,20,0.01668170897755772
Python,10000,200,worst,21,0.016709041025023907
Python,10000,200,worst,22,0.016635791049338877
Python,10000,200,worst,23,0.016737999976612628
Python,10000,200,worst,24,0.016806375002488494
Python,10000,200,worst,25,0.01688479201402515
Python,100000,10,best,1,0.12680683302460238
Python,100000,10,best,2,0.13071062503149733
Python,100000,10,best,3,0.12736545799998567
Python,100000,10,best,4,0.12643579201539978
Python,100000,10,best,5,0.1271246669930406
Python,100000,10,best,6,0.12701479200040922
Python,100000,10,best,7,0.12690041703172028
Python,100000,10,best,8,0.12744670803658664
Python,100000,10,best,9,0.1274180409964174
Python,100000,10,best,10,0.1273342919885181
Python,100000,10,best,11,0.1273180839489214
Python,100000,10,best,12,0.12657829199451953
Python,100000,10,best,13,0.12721020902972668
Python,100000,10,best,14,0.1272367499768734
Python,100000,10,best,15,0.12740449997363612
Python,100000,10,best,16,0.12791437498526648
Python,100000,10,best,17,0.12743175000650808
Python,100000,10,best,18,0.12789000000339001
Python,100000,10,best,19,0.12773054098943248
Python,100000,10,best,20,0.12746937497286126
Python,100000,10,best,21,0.12957337498664856
Python,100000,10,best,22,0.12739166704704985
Python,100000,10,best,23,0.1283053329680115
Python,100000,10,best,24,0.1258744160295464
Python,100000,10,best,25,0.12654237495735288
Python,100000,10,average,1,0.12754370900802314
Python,100000,10,average,2,0.12782520800828934
Python,100000,10,average,3,0.1258387080160901
Python,100000,10,average,4,0.1263408749946393
Python,100000,10,average,5,0.1285278750001453
Python,100000,10,average,6,0.12693012499948964
Python,100000,10,average,7,0.1262397079844959
Python,100000,10,average,8,0.1273500410025008
Python,100000,10,average,9,0.12714795803185552
Python,100000,10,average,10,0.12852391600608826
Python,100000,10,average,11,0.12710916600190103
Python,100000,10,average,12,0.2544947079732083
Python,100000,10,average,13,0.12501174997305498
Python,100000,10,average,14,0.1296823340235278
Python,100000,10,average,15,0.1273410830181092
Python,100000,10,average,16,0.12693349999608472
Python,100000,10,average,17,0.12582558300346136
Python,100000,10,average,18,0.12679612502688542
Python,100000,10,average,19,0.12663733400404453
Python,100000,10,average,20,0.12735366699052975
Python,100000,10,average,21,0.13263420795556158
Python,100000,10,average,22,0.13209387502865866
Python,100000,10,average,23,0.1334264999604784
Python,100000,10,average,24,0.1348418749985285
Python,100000,10,average,25,0.13300712499767542
Python,100000,10,worst,1,0.1819297080510296
Python,100000,10,worst,2,0.17583208298310637
Python,100000,10,worst,3,0.17821925005409867
Python,100000,10,worst,4,0.17768016702029854
Python,100000,10,worst,5,0.179685499984771
Python,100000,10,worst,6,0.1820297499652952
Python,100000,10,worst,7,0.1772326249629259
Python,100000,10,worst,8,0.17790200002491474
Python,100000,10,worst,9,0.17539945797761902
Python,100000,10,worst,10,0.17068550002295524
Python,100000,10,worst,11,0.1681807090062648
Python,100000,10,worst,12,0.17373845796100795
Python,100000,10,worst,13,0.16949129104614258
Python,100000,10,worst,14,0.16864841699134558
Python,100000,10,worst,15,0.31454875000054017
Python,100000,10,worst,16,0.19549100002041087
Python,100000,10,worst,17,0.17039124999428168
Python,100000,10,worst,18,0.17320383299374953
Python,100000,10,worst,19,0.1717851249850355
Python,100000,10,worst,20,0.16887241700896993
Python,100000,10,worst,21,0.1723457089974545
Python,100000,10,worst,22,0.16521475004265085
Python,100000,10,worst,23,0.4175345830153674
Python,100000,10,worst,24,0.17155679099960253
Python,100000,10,worst,25,0.1718229999532923
Python,100000,50,best,1,0.11555937497178093
Python,100000,50,best,2,0.11532116599846631
Python,100000,50,best,3,0.11547329201130196
Python,100000,50,best,4,0.11305187497055158
Python,100000,50,best,5,0.11575070902472362
Python,100000,50,best,6,0.1141504580155015
Python,100000,50,best,7,0.11508499999763444
Python,100000,50,best,8,0.1163554170052521
Python,100000,50,best,9,0.11606420896714553
Python,100000,50,best,10,0.12055408395826817
Python,100000,50,best,11,0.11201345798326656
Python,100000,50,best,12,0.11544195801252499
Python,100000,50,best,13,0.11550241702934727
Python,100000,50,best,14,0.11618966702371836
Python,100000,50,best,15,0.11568429198814556
Python,100000,50,best,16,0.11534108297200873
Python,100000,50,best,17,0.1162984169786796
Python,100000,50,best,18,0.11621908296365291
Python,100000,50,best,19,0.11509629199281335
Python,100000,50,best,20,0.11575308401370421
Python,100000,50,best,21,0.11610058404039592
Python,100000,50,best,22,0.11675441701663658
Python,100000,50,best,23,0.11540995800169185
Python,100000,50,best,24,0.118228540988639
Python,100000,50,best,25,0.11794079095125198
Python,100000,50,average,1,0.11569733399664983
Python,100000,50,average,2,0.11517066601663828
Python,100000,50,average,3,0.11550358298700303
Python,100000,50,average,4,0.11645320896059275
Python,100000,50,average,5,0.11578549997648224
Python,100000,50,average,6,0.11666595900896937
Python,100000,50,average,7,0.1146652500028722
Python,100000,50,average,8,0.11313175002578646
Python,100000,50,average,9,0.11876549996668473
Python,100000,50,average,10,0.11588187504094094
Python,100000,50,average,11,0.11523970903363079
Python,100000,50,average,12,0.11547762498958036
Python,100000,50,average,13,0.11538208305137232
Python,100000,50,average,14,0.11544820800190791
Python,100000,50,average,15,0.11261966702295467
Python,100000,50,average,16,0.11674666701583192
Python,100000,50,average,17,0.1165945419925265
Python,100000,50,average,18,0.11502241698326543
Python,100000,50,average,19,0.11683104099938646
Python,100000,50,average,20,0.1154807080165483
Python,100000,50,average,21,0.11632233404088765
Python,100000,50,average,22,0.11516604200005531
Python,100000,50,average,23,0.11448587500490248
Python,100000,50,average,24,0.11486912501277402
